,timestamp,open,high,low,close,volume_base,volume,volume_quote,time,sma1,sma2,sma3,sma4,val,up,down,compra,venda,compra_price,venda_price,avgCandleSize,volumeThreshold11,bullElephantBar,bearElephantBar,compra_price_elephant,venda_price_elephant
112,1743178740000,129.5,129.63,129.49,129.63,186.498,24164.445508,24164.445508,28-03-2025 16:19:00,129.40875,129.71800000000002,129.9115,,129.5625,True,False,False,False,,,,,False,False,,
113,1743178800000,129.63,129.77,129.63,129.76,687.9878,89246.195172,89246.195172,28-03-2025 16:20:00,129.44375,129.705,129.901,,129.6975,True,False,False,False,,,,,False,False,,
114,1743178860000,129.76,129.94,129.75,129.9,645.2368,83777.580748,83777.580748,28-03-2025 16:21:00,129.49875,129.70350000000002,129.89325000000002,,129.8375,True,False,False,False,,,,,False,False,,
115,1743178920000,129.9,129.96,129.81,129.86,545.8599,70895.557295,70895.557295,28-03-2025 16:22:00,129.55875,129.695,129.8895,,129.8825,True,False,False,False,,,,,False,False,,
116,1743178980000,129.86,129.9,129.75,129.9,424.0541,55048.088881,55048.088881,28-03-2025 16:23:00,129.6225,129.6835,129.888,,129.8525,False,True,False,False,,,,,False,False,,
117,1743179040000,129.9,129.97,129.9,129.91,415.6828,54010.948469,54010.948469,28-03-2025 16:24:00,129.70875,129.6755,129.887,,129.92,True,False,True,False,129.91,,,,False,False,,
118,1743179100000,129.91,129.96,129.88,129.96,474.4606,61634.312879,61634.312879,28-03-2025 16:25:00,129.8025,129.671,129.883,,129.9275,True,False,False,False,,,,,False,False,,
119,1743179160000,129.96,130.11,129.96,130.11,631.5241,82123.429109,82123.429109,28-03-2025 16:26:00,129.87875,129.67249999999999,129.88174999999998,,130.03500000000003,True,False,False,False,,,,,False,False,,
120,1743179220000,130.11,130.21,130.08,130.2,514.0616,66898.582164,66898.582164,28-03-2025 16:27:00,129.95,129.67600000000002,129.8825,,130.15000000000003,True,False,False,False,,,,,False,False,,
121,1743179280000,130.2,130.27,130.07,130.07,369.5279,48108.816097,48108.816097,28-03-2025 16:28:00,129.98875,129.683,129.87825,,130.1525,True,False,False,False,,,,,False,False,,
122,1743179340000,130.07,130.07,129.85,129.89,480.4967,62443.672711,62443.672711,28-03-2025 16:29:00,129.9875,129.7,129.8675,,129.97,False,True,False,False,,,,,False,False,,
